User Input,Chatbot Response,Timestamp
hii,Hello! How can I assist you today?,2024-12-20 18:00:45
study tips,Good to see you! Let me know how I can help.,2024-12-20 18:01:23
what is your name,"You can use platforms like Schoology, Edmodo, or LearnDash for managing online courses.",2024-12-20 18:01:50
do you offer any courses,Hello! How can I assist you today?,2024-12-20 18:02:10
what is education tutor?,Hello! How can I assist you today?,2024-12-20 18:02:27
what is education tutor,I'm your assistant for learning about educational tools and innovations. Let's get started!,2024-12-20 18:03:48
quiz_learning,Greetings! I'm here to assist you with your learning journey.,2024-12-20 18:05:49
Give me some quizes,"Quizzes are not my forte yet, but I can still assist you in preparing or suggest where to find great practice material. Let me know what you need!",2024-12-20 18:06:06
What can you help with,Educational Tutor is your guide to learning with innovative tools and technology. How can I assist you today?,2024-12-20 18:07:01
I need help.,"Whether it's about learning tools or educational technologies, I'm here to guide you. What would you like to know?",2024-12-20 18:09:24
